voice_index	speed	pitch	volume	noise	noise_w	silence	narratorScore	sex	gain	wpm	newSpeed	newVol	sex confidence
102	0.8	1	1	0.667	0.8	0.3	-0.08	male	-3.5	226.43	0.88	1.35	0.54
103	0.8	1	1	0.667	0.8	0.3	-0.72	female	-5.1	190.78	0.74	1.62	0.40
104	0.8	1	1	0.667	0.8	0.3	0.05	male	-2.7	220.88	0.86	1.23	0.48
105	0.8	1	1	0.667	0.8	0.3	-3.74	male	-3.1	229.54	0.89	1.29	0.14
106	0.8	1	1	0.667	0.8	0.3	2.98	male	-4.3	189.24	0.73	1.48	0.27
107	0.8	1	1	0.667	0.8	0.3	-1.33	female	-4.7	213.11	0.83	1.55	0.21
108	0.8	1	1	0.667	0.8	0.3	1.69	female	-6.9	200.24	0.78	1.99	0.39
109	0.8	1	1	0.667	0.8	0.3	-2.25	female	-4.8	214.15	0.83	1.56	0.52
110	0.8	1	1	0.667	0.8	0.3	0.74	male	-4.1	222.84	0.87	1.44	0.58
111	0.8	1	1	0.667	0.8	0.3	-0.1	ambiguous	-3.6	218.95	0.85	1.36	0.79
112	0.8	1	1	0.667	0.8	0.3	0.3	female	-4.7	204.79	0.8	1.55	0.80
113	0.8	1	1	0.667	0.8	0.3	-1.86	male	-1.4	221.02	0.86	1.06	0.31
114	0.8	1	1	0.667	0.8	0.3	-1.74	male	-5.5	243.37	0.95	1.7	0.10
115	0.8	1	1	0.667	0.8	0.3	0.35	female	-5.3	207.33	0.81	1.66	0.43
116	0.8	1	1	0.667	0.8	0.3	2.67	male	-1.9	183.41	0.71	1.12	0.80
117	0.8	1	1	0.667	0.8	0.3	0.32	male	-1.5	223.69	0.87	1.07	0.13
118	0.8	1	1	0.667	0.8	0.3	0.36	female	-2.9	204.67	0.79	1.26	0.80
119	0.8	1	1	0.667	0.8	0.3	-0.59	ambiguous	-3.7	210.68	0.82	1.38	0.80
120	0.8	1	1	0.667	0.8	0.3	-1.24	female	-5.5	214.94	0.83	1.7	0.49
121	0.8	1	1	0.667	0.8	0.3	-0.96	male	-3.3	229.84	0.89	1.32	0.41
122	0.8	1	1	0.667	0.8	0.3	-0.95	female	-6.3	186.13	0.72	1.86	0.54
123	0.8	1	1	0.667	0.8	0.3	1.7	male	-4.1	189.65	0.74	1.44	0.40
124	0.8	1	1	0.667	0.8	0.3	-1.66	male	-3.6	244.38	0.95	1.36	0.48
125	0.8	1	1	0.667	0.8	0.3	-1.22	female	-3.8	191.09	0.74	1.39	0.14
126	0.8	1	1	0.667	0.8	0.3	0.8	ambiguous	-3.4	228.79	0.89	1.33	0.27
127	0.8	1	1	0.667	0.8	0.3	-0.87	female	-4.4	215.73	0.84	1.49	0.21
128	0.8	1	1	0.667	0.8	0.3	1.95	female	-4.2	215.6	0.84	1.46	0.39
129	0.8	1	1	0.667	0.8	0.3	0.26	female	-3.9	219.09	0.85	1.41	0.52
130	0.8	1	1	0.667	0.8	0.3	-0.23	ambiguous	-3.3	235.85	0.92	1.32	0.58
131	0.8	1	1	0.667	0.8	0.3	1.56	female	-4.8	198.1	0.77	1.56	0.79
132	0.8	1	1	0.667	0.8	0.3	-3.68	male	-4	218.68	0.85	1.43	0.80
133	0.8	1	1	0.667	0.8	0.3	-0.3	female	-5.1	184.28	0.72	1.62	0.31
134	0.8	1	1	0.667	0.8	0.3	0.23	male	-3.7	198.99	0.77	1.38	0.10
135	0.8	1	1	0.667	0.8	0.3	-2.04	male	-3.3	233.04	0.91	1.32	0.43
136	0.8	1	1	0.667	0.8	0.3	1.89	male	-3.4	198.77	0.77	1.33	0.80
137	0.8	1	1	0.667	0.8	0.3	-5.45	male	-2.5	231.05	0.9	1.2	0.13
138	0.8	1	1	0.667	0.8	0.3	0.16	female	-4	214.28	0.83	1.43	0.80
139	0.8	1	1	0.667	0.8	0.3	3.11	male	-4	218.27	0.85	1.43	0.80
140	0.8	1	1	0.667	0.8	0.3	-0.21	female	-4.8	189.75	0.74	1.56	0.49
141	0.8	1	1	0.667	0.8	0.3	0.32	female	-4.4	208.68	0.81	1.49	0.41
142	0.8	1	1	0.667	0.8	0.3	-3.22	female	-3.7	224.69	0.87	1.38	0.54
143	0.8	1	1	0.667	0.8	0.3	1.9	ambiguous	-5	163.07	0.63	1.6	0.40
144	0.8	1	1	0.667	0.8	0.3	0.57	female	-4.1	213.37	0.83	1.44	0.48
145	0.8	1	1	0.667	0.8	0.3	3.71	male	-3.9	176.59	0.69	1.41	0.14
146	0.8	1	1	0.667	0.8	0.3	1.97	male	-3.2	256.51	1	1.3	0.27
147	0.8	1	1	0.667	0.8	0.3	-1.62	female	-4.1	201.5	0.78	1.44	0.21
148	0.8	1	1	0.667	0.8	0.3	-0.08	female	-4.6	218.14	0.85	1.53	0.39
149	0.8	1	1	0.667	0.8	0.3	-1.34	female	-4.5	210.56	0.82	1.51	0.52
150	0.8	1	1	0.667	0.8	0.3	-0.28	female	-3.5	195.45	0.76	1.35	0.58
151	0.8	1	1	0.667	0.8	0.3	3.66	male	-1.2	204.43	0.79	1.03	0.79
152	0.8	1	1	0.667	0.8	0.3	1.97	male	-4.8	196.88	0.76	1.56	0.80
153	0.8	1	1	0.667	0.8	0.3	0.08	female	-4.9	213.5	0.83	1.58	0.31
154	0.8	1	1	0.667	0.8	0.3	2.52	female	-4.5	199.79	0.78	1.51	0.10
155	0.8	1	1	0.667	0.8	0.3	2.17	male	-4.4	206.35	0.8	1.49	0.43
156	0.8	1	1	0.667	0.8	0.3	0.95	male	-1.8	210.43	0.82	1.11	0.80
157	0.8	1	1	0.667	0.8	0.3	0.12	female	-5.5	193.2	0.75	1.7	0.13
158	0.8	1	1	0.667	0.8	0.3	0.22	ambiguous	-3.4	217.6	0.85	1.33	0.80
159	0.8	1	1	0.667	0.8	0.3	0.5	male	-2.8	229.69	0.89	1.24	0.80
160	0.8	1	1	0.667	0.8	0.3	-1.02	ambiguous	-3.1	196.88	0.76	1.29	0.49
161	0.8	1	1	0.667	0.8	0.3	1.54	female	-4.3	177.85	0.69	1.48	0.41
162	0.8	1	1	0.667	0.8	0.3	-0.18	female	-3.8	200.35	0.78	1.39	0.54
163	0.8	1	1	0.667	0.8	0.3	-0.55	male	-4.5	193.73	0.75	1.51	0.40
164	0.8	1	1	0.667	0.8	0.3	0.91	female	-4.5	180.03	0.7	1.51	0.48
165	0.8	1	1	0.667	0.8	0.3	0.99	ambiguous	-5	203.13	0.79	1.6	0.14
166	0.8	1	1	0.667	0.8	0.3	2	female	-4.4	222.14	0.86	1.49	0.27
167	0.8	1	1	0.667	0.8	0.3	-1.03	female	-4.7	219.09	0.85	1.55	0.21
168	0.8	1	1	0.667	0.8	0.3	-1.2	male	-2.1	201.39	0.78	1.15	0.39
169	0.8	1	1	0.667	0.8	0.3	-1.19	ambiguous	-4.1	242.86	0.94	1.44	0.52
170	0.8	1	1	0.667	0.8	0.3	4.51	female	-2.7	171.43	0.67	1.23	0.58
171	0.8	1	1	0.667	0.8	0.3	-0.92	female	-4.8	228.05	0.89	1.56	0.79
172	0.8	1	1	0.667	0.8	0.3	-0.29	female	-3.7	216.93	0.84	1.38	0.80
173	0.8	1	1	0.667	0.8	0.3	-0.94	male	-3.1	237.13	0.92	1.29	0.31
174	0.8	1	1	0.667	0.8	0.3	-2.79	male	-3.9	231.05	0.9	1.41	0.10
175	0.8	1	1	0.667	0.8	0.3	2.94	ambiguous	-4.1	194.69	0.76	1.44	0.43
176	0.8	1	1	0.667	0.8	0.3	-2.71	male	-4	227.6	0.88	1.43	0.80
177	0.8	1	1	0.667	0.8	0.3	-2.14	female	-5.6	215.73	0.84	1.71	0.13
178	0.8	1	1	0.667	0.8	0.3	-0.14	ambiguous	-5	180.68	0.7	1.6	0.80
179	0.8	1	1	0.667	0.8	0.3	2.17	female	-4.9	179.94	0.7	1.58	0.80
180	0.8	1	1	0.667	0.8	0.3	-0.36	female	-3.6	213.5	0.83	1.36	0.49
181	0.8	1	1	0.667	0.8	0.3	-1.31	male	-4	197.65	0.77	1.43	0.41
182	0.8	1	1	0.667	0.8	0.3	-6.44	male	-3.8	217.33	0.84	1.39	0.54
