label	repl
multinational	multi national
multigenerational	multi generational
aka	also known as
AKA	also known as
DOB	date of birth
ME	Medical Examiner
CO	Commanding Officer
DOA	Dead On Arrival
HE	He
SHE	She
NYPD	New York Police Department
PD	Police Department
Sgt	Sergeant
DVD	D V D
JP	Justice Of The Peace
IV	I V
ETA	Estimated Time of Arrival
watercooler	water cooler
