voice_id	measured_lufs	gain_db_to_target	volume_linear_to_target	eq	length_scale_base	pitch_semitones	dur_s	words	measured_wpm	median_f0_hz	f0_p10_hz	f0_p90_hz	voiced_ratio	sex_guess	sex_confidence	newSpeed	newVol
815	-15.9	-4.1	0.62	off	1.1	0	20.32	68	200.81	196.88	170.93	450	0.74	female	0.24	0.78	1.44
816	-15.5	-4.5	0.6	off	1.1	0	19.16	68	212.98	145.07	121.82	501.14	0.77	male	0.2	0.83	1.51
817	-16	-4	0.63	off	1.1	0	15.34	68	266.03	153.13	128.95	450	0.79	male	0.04	1.03	1.43
818	-17.2	-2.8	0.72	off	1.1	0	19.38	68	210.56	113.66	93.43	367.5	0.74	male	0.8	0.82	1.24
819	-16	-4	0.63	off	1.1	0	18.48	68	220.74	210	167.05	408.33	0.71	female	0.5	0.86	1.43
820	-15.3	-4.7	0.58	off	1	0	24.52	68	166.39	216.18	169.62	350.56	0.79	female	0.62	0.65	1.55
821	-17.9	-2.1	0.79	off	1.1	0	17.88	68	228.2	126.72	105	180.74	0.7	male	0.71	0.89	1.15
822	-15.9	-4.1	0.62	off	1.01	0	22.34	68	182.65	110.8	90	479.35	0.8	male	0.8	0.71	1.44
823	-15.7	-4.3	0.61	off	1.1	0	20.17	68	202.32	210	168.32	485.74	0.79	female	0.5	0.79	1.48
824	-18	-2	0.79	off	1.1	0	19.8	68	206.11	116.05	94.64	155.39	0.71	male	0.97	0.80	1.13
825	-16.9	-3.1	0.7	off	1.05	0	21.55	68	189.34	129.71	103.04	326.84	0.78	male	0.51	0.74	1.29
826	-16.2	-3.8	0.65	off	1.1	0	17.75	68	229.84	124.58	93.83	441	0.79	male	0.61	0.89	1.39
827	-15	-5	0.56	off	1.1	0	19.69	68	207.21	132.04	102.37	483.61	0.76	male	0.46	0.80	1.6
828	-15.1	-4.9	0.57	off	1.1	0	19.26	68	211.83	142.26	113.66	193.42	0.77	male	0.32	0.82	1.58
829	-18	-2	0.79	off	1.1	0	18.82	68	216.79	108.62	87.26	350	0.7	male	0.8	0.84	1.13
830	-17	-3	0.71	off	1.09	0	20.87	68	195.45	200.45	169.62	306.25	0.78	female	0.31	0.76	1.27
831	-18.3	-1.7	0.82	off	1.1	0	18.68	68	218.41	103.04	86.13	408.33	0.77	male	0.8	0.85	1.09
832	-15.2	-4.8	0.58	off	1.1	0	20.14	68	202.55	218.32	182.08	310.56	0.79	female	0.83	0.79	1.56
833	-15.1	-4.9	0.57	off	1.08	0	21.05	68	193.83	212.02	180.74	450	0.75	female	0.54	0.75	1.58
834	-16.1	-3.9	0.64	off	1	0	26.7	68	152.79	129.71	90.37	190.09	0.72	male	0.51	0.59	1.41
835	-17.1	-2.9	0.72	off	1.1	0	18.37	68	222.14	212.02	179.27	430.72	0.75	female	0.54	0.86	1.26
836	-15.2	-4.8	0.58	off	1.1	0	19.14	68	213.11	129.71	109.16	243.94	0.77	male	0.51	0.83	1.56
837	-15.8	-4.2	0.62	off	1.07	0	21.28	68	191.72	216.18	173.62	294	0.77	female	0.78	0.74	1.46
