voice_index	voice_number	speed	pitch	volume	noise	noise_w	silence	narratorScore	sex	gain	wpm	newSpeed	newVol	sexConfidence
674	674	0.8	1	1.27	0.667	0.8	0.3	-0.08	male	-3	215.33	0.84	1.27	0.1
675	675	0.8	1	1.35	0.667	0.8	0.3	0.82	female	-3.5	203.84	0.79	1.35	0.43
676	676	0.8	1	1.39	0.667	0.8	0.3	-0.11	ambiguous	-3.8	225.99	0.88	1.39	0.8
677	677	0.8	1	1.32	0.667	0.8	0.3	2.12	male	-3.3	211.19	0.82	1.32	0.13
678	678	0.8	1	1.38	0.667	0.8	0.3	1.82	male	-3.7	183.99	0.71	1.38	0.8
679	679	0.8	1	1.64	0.667	0.8	0.3	0.51	female	-5.2	178.39	0.69	1.64	0.8
680	680	0.8	1	1.66	0.667	0.8	0.3	1.28	male	-5.3	161.42	0.63	1.66	0.49
681	681	0.8	1	1.6	0.667	0.8	0.3	-1.06	female	-5	206.96	0.8	1.6	0.41
682	682	0.8	1	1.46	0.667	0.8	0.3	0.97	ambiguous	-4.2	172.94	0.67	1.46	0.54
683	683	0.8	1	1.53	0.667	0.8	0.3	-1.43	ambiguous	-4.6	213.11	0.83	1.53	0.4
684	684	0.8	1	1.29	0.667	0.8	0.3	3.38	male	-3.1	166.71	0.65	1.29	0.48
685	685	0.8	1	1.32	0.667	0.8	0.3	1.08	male	-3.3	191.72	0.74	1.32	0.14
686	686	0.8	1	1.2	0.667	0.8	0.3	-1.99	male	-2.5	253.55	0.98	1.2	0.27
687	687	0.8	1	1.09	0.667	0.8	0.3	0.4	male	-1.7	191.93	0.75	1.09	0.21
688	688	0.8	1	1.39	0.667	0.8	0.3	0.93	male	-3.8	212.34	0.82	1.39	0.39
689	689	0.8	1	1.53	0.667	0.8	0.3	-0.81	male	-4.6	206.6	0.8	1.53	0.52
690	690	0.8	1	1.17	0.667	0.8	0.3	3.45	male	-2.3	192.45	0.75	1.17	0.58
691	691	0.8	1	1.48	0.667	0.8	0.3	-0.95	ambiguous	-4.3	200.01	0.78	1.48	0.79
692	692	0.8	1	1.48	0.667	0.8	0.3	-3.19	female	-4.3	215.33	0.84	1.48	0.8
693	693	0.8	1	1.38	0.667	0.8	0.3	-1.07	female	-3.7	194.37	0.75	1.38	0.31
694	694	0.8	1	1.35	0.667	0.8	0.3	1.68	female	-3.5	207.82	0.81	1.35	0.1
695	695	0.8	1	1.66	0.667	0.8	0.3	0.08	female	-5.3	196.22	0.76	1.66	0.43
696	696	0.8	1	1.38	0.667	0.8	0.3	-0.26	ambiguous	-3.7	196.88	0.76	1.38	0.8
697	697	0.8	1	1.36	0.667	0.8	0.3	0.85	male	-3.6	196.88	0.76	1.36	0.13
698	698	0.8	1	1.78	0.667	0.8	0.3	2.92	female	-5.9	189.75	0.74	1.78	0.8
699	699	0.8	1	1.6	0.667	0.8	0.3	-0.56	female	-5	206.48	0.8	1.6	0.8
700	700	0.8	1	1.15	0.667	0.8	0.3	0.78	male	-2.1	206.96	0.8	1.15	0.49
701	701	0.8	1	1.58	0.667	0.8	0.3	1.1	female	-4.9	187.73	0.73	1.58	0.41
702	702	0.8	1	1.35	0.667	0.8	0.3	-0.38	female	-3.5	197.76	0.77	1.35	0.54
703	703	0.8	1	1.48	0.667	0.8	0.3	-0.52	ambiguous	-4.3	174.32	0.68	1.48	0.4
704	704	0.8	1	1.48	0.667	0.8	0.3	-0.88	male	-4.3	201.5	0.78	1.48	0.48
705	705	0.8	1	1.35	0.667	0.8	0.3	-0.94	male	-3.5	230.59	0.9	1.35	0.14
